nombre,latitud,longitud,tipo
Frisone,38.26194,-0.69566,rest
Les Moles,40.602104,0.427955,rest
Cinc Sentits,41.3784999,2.1521767,rest
Kimtxu,43.2648138,-2.9329932,rest
Koy Shunka,41.3857791,2.1754154,rest
Quique Dacosta,38.8537884,0.0852209,rest
Prada a Tope,43.31639,-4.29995,rest
La Cocina de Manuel,41.6379148,-4.7377547,rest
Ola Martín Berasategui,43.2579308,-2.9264328,rest
Baluarte,41.7625609,-2.4656422,rest
Emporium,42.2558205,3.0760903,rest
Komfort,38.6474418,0.0611085,rest
Trigo,41.654679,-4.730628,rest
Unic,38.8898956,1.4077202,rest
Ambivium,41.5946148,-4.0875496,rest
Enigma,41.3768726,2.1541799,rest
Del Oso,43.1150441,-4.7297281,rest
Silbo Gomero,28.4590906,-16.3020968,rest
Atrio,39.4730183,-6.3713456,rest
Hofmann,41.3971709,2.1530609,rest
Boroa,43.2352979,-2.7598523,rest
O Balado,42.798046,-8.403248,rest
Los Guayres,27.8225974,-15.7595468,rest
El Equilibrista 33,28.12999,-15.43104,rest
El Ermitaño,42.00712,-5.65799,rest
Zarate,43.262561,-2.9435024,rest
Maruja Limón,42.2404552,-8.7238918,rest
Riff,39.4657836,-0.3684603,rest
Le Bistrot Gastronómico,39.9835877,-0.0370276,rest
Vivanda,41.400486,2.1209594,rest
Pau,40.4164901,0.4338135,rest
Casa Marcial,43.4184082,-5.1931556,rest
Les Magnòlies,41.8189509,2.5084947,rest
Terreo Cocina Casual,43.3692094,-8.4039449,rest
Miceli,39.7542464,2.9009914,rest
O'Pazo,42.7564294,-8.65202,rest
Voramar,42.4265274,3.1615535,rest
Quinqué,40.463467,-3.6841129,rest
Gala,40.4406193,-3.6978122,rest
Voro,39.6690394,3.4395565,rest
Malak,37.767638,-3.7873502,rest
La Lechería,42.4168797,-6.1184008,rest
Vapor Gastronòmic,41.56301,2.011635,rest
Avenir,41.3944626,2.1444062,rest
Asador Gonzaba,42.8753153,-8.5492085,rest
DINS Santi Taura,39.565643,2.6529955,rest
La Cuchara de San Lorenzo,37.8879589,-4.7693772,rest
Pepe Vieira,42.40942,-8.75447,rest
La Taberna de Almodóvar,37.8897417,-4.78245,rest
Ababol,38.9887598,-1.854235,rest
Clos Madrid,40.4465794,-3.6999179,rest
Els Caçadors,42.3841249,2.755083,rest
El Yantar La Cocina de Pilar,39.485571,-1.1009446,rest
Desde 1911,40.4485341,-3.7098877,rest
Sa Clastra,39.5918479,2.4800457,rest
Santerra,40.4289405,-3.6782994,rest
La Cocina de Ramón,42.4664453,-2.447447,rest
Atempo,41.3910001,2.1522177,rest
