nombre,latitud,longitud,estrella
Els Tinars,2.9533814,41.8274496,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Yugo The Bunker,-3.694612,40.410625,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Rebotica,-1.2236069,41.337964,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Magoga,-0.98376,37.605446,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
DiverXO,-3.6856715,40.4582913,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/TresEstrellas.svg
Granero,-3.0474651,39.5966829,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
José Carlos García,-4.4130483,36.71685,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
A'Barra,-3.687633,40.438683,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Ferpel Gastronómico,-6.7450058,43.5592015,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Eneko,-2.8142767,43.26056,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Los Sentidos,-3.6298343,38.0917445,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Europa,-1.6418103,42.8161985,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Amelia by Paulo Airaudo,-1.9859469,43.3168594,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Base9,-4.4267201,36.7141197,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Origen,-0.4521044,39.1193545,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Manifesto 13,-3.7016519,40.4304113,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Ansils,0.5097959,42.5909183,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Bistrot 1965,3.0760823,42.2558384,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Tabaiba,-15.4397592,28.1353754,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Atempo,2.1522177,41.3910001,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Quimbaya,-3.6930752,40.436379,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Finca Alfoliz,-7.044933,37.2935619,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Kaleja,-4.417923,36.7211416,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
San Sebastián 57,-16.2530444,28.4636488,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Voramar,3.1615535,42.4265274,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
O'Pazo,-8.65202,42.7564294,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Quinqué,-3.6841129,40.463467,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Tula,0.1925837,38.7707289,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Voro,3.4395565,39.6690394,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Retama,-3.3219559,38.670718,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Fundición,-4.0049042,40.9007073,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
El Rincón de Juan Carlos,-16.7535126,28.1018325,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Forastera,-0.3835095,39.4747439,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Monte,-5.8225128,43.1685435,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
DINS Santi Taura,2.6529955,39.565643,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Miguel González,-7.86502,42.33592,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Asador Gonzaba,-8.5492085,42.8753153,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Cantina La Estación,-3.3672066,38.0116903,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Terraza Carmona,-1.8675902,37.2480034,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
La Lechería,-6.1184008,42.4168797,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Vapor Gastronòmic,2.011635,41.56301,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Víctor Gutiérrez,-5.6703452,40.9630387,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Dama Juana,-3.7854772,37.767224,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
ARREA!,-2.3497835,42.6692746,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
